=== FULL TRACE ===
[   0.008] presspm3 hook OK
[   0.010] POLL stack=['MainActivity'] 
[   0.011] === ALL INSTALLED ===
[   5.891] SERIAL_TX> b'pctbat\r\n'
[   5.908] SERIAL_TX> b'charge\r\n'
[  15.924] SERIAL_TX> b'pctbat\r\n'
[  15.938] SERIAL_TX> b'charge\r\n'
[  25.959] SERIAL_TX> b'pctbat\r\n'
[  25.973] SERIAL_TX> b'charge\r\n'
[  35.989] SERIAL_TX> b'pctbat\r\n'
[  36.002] SERIAL_TX> b'charge\r\n'
[  46.019] SERIAL_TX> b'pctbat\r\n'
[  46.033] SERIAL_TX> b'charge\r\n'
[  56.054] SERIAL_TX> b'pctbat\r\n'
[  56.068] SERIAL_TX> b'charge\r\n'
[  66.084] SERIAL_TX> b'pctbat\r\n'
[  66.098] SERIAL_TX> b'charge\r\n'
[  76.115] SERIAL_TX> b'pctbat\r\n'
[  76.128] SERIAL_TX> b'charge\r\n'
[  86.144] SERIAL_TX> b'pctbat\r\n'
[  86.157] SERIAL_TX> b'charge\r\n'
[  96.174] SERIAL_TX> b'pctbat\r\n'
[  96.187] SERIAL_TX> b'charge\r\n'
[ 106.204] SERIAL_TX> b'pctbat\r\n'
[ 106.218] SERIAL_TX> b'charge\r\n'
[ 116.234] SERIAL_TX> b'pctbat\r\n'
[ 116.248] SERIAL_TX> b'charge\r\n'
[ 126.264] SERIAL_TX> b'pctbat\r\n'
[ 126.278] SERIAL_TX> b'charge\r\n'
[ 136.294] SERIAL_TX> b'pctbat\r\n'
[ 136.308] SERIAL_TX> b'charge\r\n'
[ 146.324] SERIAL_TX> b'pctbat\r\n'
[ 146.338] SERIAL_TX> b'charge\r\n'
[ 156.354] SERIAL_TX> b'pctbat\r\n'
[ 156.368] SERIAL_TX> b'charge\r\n'
[ 166.390] SERIAL_TX> b'pctbat\r\n'
[ 166.403] SERIAL_TX> b'charge\r\n'
[ 176.419] SERIAL_TX> b'pctbat\r\n'
[ 176.433] SERIAL_TX> b'charge\r\n'
[ 186.454] SERIAL_TX> b'pctbat\r\n'
[ 186.468] SERIAL_TX> b'charge\r\n'
[ 196.484] SERIAL_TX> b'pctbat\r\n'
[ 196.498] SERIAL_TX> b'charge\r\n'
[ 206.514] SERIAL_TX> b'pctbat\r\n'
[ 206.528] SERIAL_TX> b'charge\r\n'
[ 216.544] SERIAL_TX> b'pctbat\r\n'
[ 216.558] SERIAL_TX> b'charge\r\n'
[ 226.579] SERIAL_TX> b'pctbat\r\n'
[ 226.592] SERIAL_TX> b'charge\r\n'
[ 236.609] SERIAL_TX> b'pctbat\r\n'
[ 236.623] SERIAL_TX> b'charge\r\n'
[ 246.645] SERIAL_TX> b'pctbat\r\n'
[ 246.658] SERIAL_TX> b'charge\r\n'
[ 256.679] SERIAL_TX> b'pctbat\r\n'
[ 256.693] SERIAL_TX> b'charge\r\n'
[ 266.709] SERIAL_TX> b'pctbat\r\n'
[ 266.723] SERIAL_TX> b'charge\r\n'
[ 276.739] SERIAL_TX> b'pctbat\r\n'
[ 276.753] SERIAL_TX> b'charge\r\n'
[ 286.769] SERIAL_TX> b'pctbat\r\n'
[ 286.783] SERIAL_TX> b'charge\r\n'
[ 296.804] SERIAL_TX> b'pctbat\r\n'
[ 296.818] SERIAL_TX> b'charge\r\n'
[ 306.834] SERIAL_TX> b'pctbat\r\n'
[ 306.848] SERIAL_TX> b'charge\r\n'
[ 316.864] SERIAL_TX> b'pctbat\r\n'
[ 316.877] SERIAL_TX> b'charge\r\n'
[ 326.894] SERIAL_TX> b'pctbat\r\n'
[ 326.908] SERIAL_TX> b'charge\r\n'
[ 336.924] SERIAL_TX> b'pctbat\r\n'
[ 336.938] SERIAL_TX> b'charge\r\n'
[ 346.954] SERIAL_TX> b'pctbat\r\n'
[ 346.968] SERIAL_TX> b'charge\r\n'
[ 356.985] SERIAL_TX> b'pctbat\r\n'
